pi_institution,total_ace,total_cpu_hours,total_node_hours,job_count,active_pi_count,active_allocation_count,active_person_count
Harvard Med Sch - Harvard Medical School,4089173.8724,3800851.3228,32823.8867,8380.0,3.0,5.0,5.0
Harvard U - Harvard University,87804700.1061,70115057.6028,898646.3256,435407.0,32.0,57.0,73.0
Harvard-Smithsonian CFA - Harvard-Smithsonian Center for Astrophysics,4323320.1073,4588770.9333,120551.1269,13295.0,9.0,13.0,19.0
Harvey Mudd College - Harvey Mudd College,9873316.4889,8336282.0256,157264.1656,56790.0,14.0,18.0,58.0
Haverford College - Haverford College,3324884.8961,3215392.3233,181317.2258,140139.0,3.0,7.0,19.0
Hendrix College - Hendrix College,166956.0172,62127.5083,2266.0517,329.0,1.0,1.0,3.0
High Point - High Point University,373617.9425,38723.0625,4151.6042,2349.0,2.0,5.0,23.0
Hofstra U - Hofstra University,595823.9441,97249.1767,2059.5442,3412.0,2.0,2.0,2.0
Hood College - Hood College,327.4066,171.4267,2.0181,3.0,1.0,1.0,1.0
Hope College - Hope College,1907765.5499,1823898.0653,14374.9561,1099.0,1.0,2.0,6.0
Howard U - Howard University,45978874.9142,37236344.2247,619656.3283,65673.0,15.0,24.0,51.0
IEEE Computer Society - IEEE Computer Society,4600.7861,2730.48,56.885,173.0,1.0,1.0,1.0
IIT - Illinois Institute of Technology,32877266.9536,10600485.2653,762658.5886,220729.0,33.0,50.0,97.0
IIT Bombay - Indian Institute of Technology Bombay,9101.254,241.8953,15.4708,38.0,1.0,1.0,2.0
IOCB Boston - Institute of Organic Chemistry and Biochemistry Boston,19002.9322,19003.2933,185.7197,315.0,1.0,1.0,2.0
IPHC - International Pacific Halibut Commission,241081.1654,163571.6369,33231.4547,287615.0,1.0,1.0,1.0
IU - Indiana University,241765998.0036,159185052.095,2318844.0067,360133.0,15.0,18.0,79.0
IU Indy - Indiana University Indianapolis,2795677.2101,681693.7653,21098.3367,2131.0,3.0,3.0,8.0
IUPU Fort Wayne - Indiana University-Purdue University Fort Wayne,238909.227,43207.4878,1603.0119,1189.0,2.0,2.0,5.0
Illinois State U - Illinois State University,180968.9937,30967.4517,570.5503,7557.0,4.0,8.0,237.0
Indiana U of Penn - Indiana University of Pennsylvania,266673.9035,307334.4875,4864.1292,3467.0,2.0,2.0,39.0
"Indiana U, Bloomington - Indiana University, Bloomington",291509.3892,78333.885,1414.9944,1442.0,4.0,5.0,14.0
Individual/Unaffiliated - Individual / Unaffiliated,30840.6014,30840.4622,240.9411,398.0,1.0,1.0,1.0
Inertia Enterprises Inc.,1417979.038,1337496.1122,13598.0439,2018.0,5.0,5.0,6.0
Institute for Advanced Study - Institute for Advanced Study,15755347.6823,14535947.3478,261499.3589,474603.0,8.0,11.0,10.0
Internet2 - Internet2,1427.4128,159.7414,18.8511,171.0,4.0,4.0,52.0
Iona University,22290.8478,12750.9808,397.5839,880.0,1.0,1.0,2.0
Iowa State U - Iowa State University,184760925.1981,163678580.2131,2516361.9467,306927.0,59.0,78.0,157.0
Ithaca College - Ithaca College,5471.2084,5046.5086,5045.2864,715.0,1.0,1.0,2.0
JBU - John Brown University,8.9837,5.5022,0.1719,5.0,1.0,1.0,1.0
JHU APL - Johns Hopkins University Applied Physics Lab,3823940.982,3979602.2694,46355.0142,8417.0,8.0,9.0,16.0
JHU Sch of Med - Johns Hopkins University School of Medicine,617072.3064,353979.605,21171.7689,40720.0,3.0,3.0,5.0
JPL - Jet Propulsion Laboratory,1423349.9283,1057824.0317,10217.8017,10201.0,4.0,4.0,6.0
Jackson Lab Genomic Med - The Jackson Laboratory for Genomic Medicine,16759.4984,15427.6806,517.5219,1034.0,1.0,1.0,2.0
Jackson State U - Jackson State University,231639.7779,231639.6322,3032.0447,170.0,2.0,2.0,4.0
Jacksonville U - Jacksonville University,2780.9595,2109.9411,1099.3572,768.0,1.0,1.0,1.0
James Madison U - James Madison University,123129.2033,44281.57,2765.945,1177.0,2.0,2.0,8.0
Jefferson Lab - Jefferson Laboratory,2231188.2213,5471338.7822,153280.8269,376.0,1.0,1.0,2.0
Johns Hopkins U - Johns Hopkins University,82180863.1855,71652430.89,2317288.8136,341890.0,43.0,50.0,102.0
KBR - KBR,1761647.3891,733701.7114,17068.7503,2024.0,3.0,3.0,5.0
KGI - Keck Graduate Institute,222243.4338,222243.9606,2611.7364,530.0,1.0,1.0,2.0
KWAAI,1929.6276,105.9589,9.2425,7.0,1.0,1.0,2.0
Kansas State U - Kansas State University,7143337.0765,2648326.3983,76005.5075,43932.0,14.0,14.0,27.0
Kean U - Kean University,232546.8838,216493.1667,4572.5336,20768.0,3.0,3.0,7.0
Kennesaw State U - Kennesaw State University,390146.3597,33926.9139,3396.2519,1151.0,2.0,2.0,10.0
Kent State U - Kent State University,333748.2064,5005.45,5005.45,200.0,1.0,1.0,1.0
Kettering U - Kettering Unversity,461163.7657,115956.2169,4175.2839,575.0,2.0,2.0,3.0
Komplexity AI LLC,268546.0104,6120.7647,3990.7247,370.0,1.0,1.0,1.0
L3 Scientific Applications Consulting LLC,102444.3197,99633.0606,823.1525,412.0,1.0,2.0,3.0
LANL - Los Alamos National Laboratory,8164511.5728,2349591.6764,139149.2525,434383.0,4.0,3.0,8.0
LBNL - Lawrence Berkeley National Laboratory,3402040.4267,2116002.0811,35545.3283,17836.0,7.0,8.0,12.0
LCPRA - Louisiana Coastal Protection & Restoration Authority,6094130.8878,6094620.2481,85612.0072,53242.0,1.0,1.0,28.0
LIBD - Lieber Institute for Brain Development,3083969.1809,938523.8119,142584.3828,19409.0,1.0,1.0,3.0
LMUNET - Lincoln Memorial University,1119263.0857,615362.5547,5032.0892,1225.0,1.0,1.0,2.0
LSU New Orleans - LSU New Orleans,746784.2036,746830.4417,35001.035,2334.0,1.0,1.0,1.0
